10ª Procuradoria de Justica Criminal
10ª Promotoria de Justica de Teresina
11ª Procuradoria de Justiça Cível
11ª Promotoria de Justica de Teresina
12ª Procuradoria de Justica Cível
12ª Promotoria de Justica de Teresina
13ª Procuradoria de Justica Cível
13ª Promotoria de Justica de Teresina
14ª Procuradoria de Justica Cível
14ª Promotoria de Justica de Teresina
15ª Procuradoria de Justiça Cível
15ª Promotoria de Justica de Teresina
16ª Procuradoria de Justica Cível
16ª Promotoria de Justiça de Teresina
17ª Procuradoria de Justica Cível
17ª Promotoria de Justica de Teresina
18ª Procuradoria de Justica Cível
18ª Promotoria de Justiça de Teresina
19ª Procuradoria de Justica Recursal
19ª Promotoria de Justica de Teresina
1ª Procuradoria de Justiça Criminal
1ª Promotoria de Justica de Altos
1ª Promotoria de Justica de Barras
1ª Promotoria de Justica de Bom Jesus
1ª Promotoria de Justica de Campo Maior
1ª Promotoria de Justica de Corrente
1ª Promotoria de Justica de Esperantina
1ª Promotoria de Justica de Floriano
1ª Promotoria de Justica de Oeiras
1ª Promotoria de Justiça de Parnaiba
1ª Promotoria de Justica de Pedro II
1ª Promotoria de Justica de Picos
1ª Promotoria de Justica de Piracuruca
1ª Promotoria de Justica de Piripiri
1ª Promotoria de Justica de Sao Joao do Piaui
1ª Promotoria de Justica de Sao Raimundo Nonato
1ª Promotoria de Justica de Simplicio Mendes
1ª Promotoria de Justiça de Teresina
1ª Promotoria de Justica de Uniao
1ª Promotoria de Justica de Urucui
1ª Promotoria de Justica de Valenca do Piauí
1ª Turma Recursal dos Juizados Especiais Cíveis e Criminais de Teresina
20ª Procuradoria de Justica Recursal
20ª Promotoria de Justiça de Teresina
21ª Procuradoria de Justica Recursal
21ª Promotoria de Justica de Teresina
22ª Promotoria de Justica de Teresina
23ª Promotoria de Justica de Teresina
24ª Promotoria de Justiça de Teresina
25ª Promotoria de Justica de Teresina
26ª Promotoria de Justica de Teresina
27ª Promotoria de Justiça de Teresina
28ª Promotoria de Justica de Teresina
29ª Promotoria de Justica de Teresina
2ª Procuradoria de Justiça Criminal
2ª Promotoria de Justica de Altos
2ª Promotoria de Justica de Barras
2ª Promotoria de Justica de Batalha
2ª Promotoria de Justica de Bom Jesus
2ª Promotoria de Justica de Campo Maior
2ª Promotoria de Justiça de Corrente
2ª Promotoria de Justica de Esperantina
2ª Promotoria de Justica de Floriano
2ª Promotoria de Justiça de Oeiras
2ª Promotoria de Justica de Parnaiba
2ª Promotoria de Justica de Pedro II
2ª Promotoria de Justica de Picos
2ª Promotoria de Justica de Piracuruca
2ª Promotoria de Justica de Piripiri
2ª Promotoria de Justica de Sao Joao do Piaui
2ª Promotoria de Justica de Sao Raimundo Nonato
2ª Promotoria de Justica de Simplicio Mendes
2ª Promotoria de Justica de Teresina
2ª Promotoria de Justica de Uniao
2ª Promotoria de Justica de Uniao
2ª Promotoria de Justica de Uniao
2ª Promotoria de Justica de Urucui
2ª Promotoria de Justica de Valenca do Piaui
2ª Turma Recursal dos Juizados Especiais Cíveis e Criminais de Teresina
30ª Promotoria de Justica de Teresina
31ª Promotoria de Justica de Teresina
32ª Promotoria de Justica de Teresina
33ª Promotoria de Justica de Teresina
34ª Promotoria de Justica de Teresina
35ª Promotoria de Justica de Teresina
36ª Promotoria de Justica de Teresina
37ª Promotoria de Justica de Teresina
38ª Promotoria de Justica de Teresina
39ª Promotoria de Justica de Teresina
3ª Procuradoria de Justica Criminal
3ª Promotoria de Justica de Campo Maior
3ª Promotoria de Justica de Floriano
3ª Promotoria de Justica de Oeiras
3ª Promotoria de Justica de Parnaiba
3ª Promotoria de Justica de Picos
3ª Promotoria de Justica de Picos
3ª Promotoria de Justica de Piripiri
3ª Promotoria de Justica de Sao Raimundo Nonato
3ª Promotoria de Justica de Teresina
3ª Turma Recursal dos Juizados Especiais Cíveis e Criminais de Teresina
40ª Promotoria de Justica de Teresina
41ª Promotoria de Justiça de Teresina
42ª Promotoria de Justica de Teresina
43ª Promotoria de Justica de Teresina
44ª Promotoria de Justiça de Teresina
45ª Promotoria de Justica de Teresina
46ª Promotoria de Justica de Teresina
47ª Promotoria de Justica de Teresina
48ª Promotoria de Justica de Teresina
49ª Promotoria de Justica de Teresina
4ª Procuradoria de Justiça Criminal
4ª Promotoria de Justica de Campo Maior
4ª Promotoria de Justiça de Floriano
4ª Promotoria de Justiça de Oeiras
4ª Promotoria de Justica de Parnaiba
4ª Promotoria de Justica de Picos
4ª Promotoria de Justica de Piripiri
4ª Promotoria de Justica de Sao Raimundo Nonato
4ª Promotoria de Justica de Teresina
50ª Promotoria de Justica de Teresina
51ª Promotoria de Justiça de Teresina
52ª Promotoria de Justiça de Teresina
53ª Promotoria de Justiça de Teresina
54ª Promotoria de Justiça de Teresina
55ª Promotoria de Justiça de Teresina
56ª Promotoria de Justiça de Teresina
57ª Promotoria de Justiça de Teresina
58ª Promotoria de Justiça de Teresina
59ª Promotoria de Justiça de Teresina
5ª Procuradoria de Justica Criminal
5ª Promotoria de Justica de Parnaiba
5ª Promotoria de Justica de Picos
5ª Promotoria de Justiça de Teresina
6ª Procuradoria de Justica Criminal
6ª Promotoria de Justiça de Parnaiba
6ª Promotoria de Justica de Picos
6ª Promotoria de Justiça de Teresina
7ª Procuradoria de Justiça Criminal
7ª Promotoria de Justica de Parnaiba
7ª Promotoria de Justica de Picos
7ª Promotoria de Justica de Teresina
8ª Procuradoria de Justica Criminal
8ª Promotoria de Justica de Parnaiba
8ª Promotoria de Justica de Picos
8ª Promotoria de Justica de Teresina
9ª Procuradoria de Justiça Criminal
9ª Promotoria de Justica de Parnaiba
9ª Promotoria de Justica de Picos
9ª Promotoria de Justiça de Teresina
Assessoria de Análise e desenvolvimento de Sistemas
Assessoria de Cerimonial
Assessoria de Compras
Assessoria de Gestao de Contratos
Assessoria de Infraestrutura
Assessoria de Planejamento e Gestão
Assessoria Militar
Assessoria para Elaboração e Acompanhamento de Projetos
Assessoria para Assuntos Administrativos
Assessoria para Distribuicao Processual - 1º Grau
Assessoria para Distribuicao Processual - 2º Grau
Assessoria para Gerenciamento de Licitacoes
Assessoria para Pagamento de Pessoal
Assessoria para Pareceres Em Processos Licitatorios
Assessoria para Programação E Gestão Orçamentária
Assessoria Pericial - Arquitetura
Assessoria Pericial - Contabilidade
Assessoria Pericial - Convênios
Assessoria Pericial - Engenharia Civil
Assessoria Pericial - Psicologia
Assessoria Pericial - Saúde
Assessoria Pericial - Serviço Social
Assessoria Técnica para Educação para o Consumo
Centro de Apoio Operacional das Promotorias de Justica Criminais
Centro de Apoio Operacional de Combate Corrupcao e defesa do Patrimonio Publico
Centro de Apoio Operacional de defesa da Infancia e Juventude
Centro de Apoio Operacional de defesa da Saude
Centro de Apoio Operacional de defesa do Meio Ambiente
CEAF
Centro de Apoio Operacional de defesa da Educação
Centro de Apoio Operacional de Promocao da Cidadania e Inclusao Social
Chefia de Gabinete do Procurador Geral
Comissão Permanente de Processos Administrativos Disciplinares
Comitê Estratégico de Proteção de Dados
Comitê Estratégico de TI
Comitê Gestor das Tabelas Unificadas MPPI
Comite Gestor de Seguranca Institucional
Controladoria Interna
Coordenação do Gabinete de Seguranca Institucional
Coordenação do Nucleo das PJ Civeis de Teresina
Grupo de Atuação Especial de Combate ao Crime Organizado – GAECO
Coordenadoria de Apoio Administrativo
Coordenadoria de Comunicação Social
Coordenadoria de Contabilidade e Financas
Coordenadoria de Licitacoes e Contratos
Coordenadoria de Pericias e Pareceres Tecnicos
Coordenadoria de Recursos Humanos
Coordenadoria de Tecnologia da Informacao
Corregedoria-Geral do MP
Curso de Adaptação - Novos Membros
Divisão de desenvolvimento Humano
Divisão de Gestão de Documentos
Escola Estadual de defesa do Consumidor
Fundo Estadual de Proteção e defesa do Consumidor
Gabinete de Gestão de Crises nos Sistemas de Segurança Pública e Prisional
Gabinete do Procurador-Geral
Grupo de Atuação Especial de Controle Externo da Atividade Policial – GACEP
Grupo de Apoio aos Promotores Com Atuação no Tribunal do Juri – GAEJ
Grupo de Apoio aos Promotores Eleitorais
Grupo de Assessoramento Tecnico Especializado
Grupo de Atuação Recursal – GAREC
Grupo de Trabalho Plano Pena Justa
Grupo Interinstitucional de Combate aos Crimes Contra a Ordem Tributária – GRINCOT
Grupo Nacional de defesa do Consumidor
Junta Recursal PROCON
LAB-LD
LGPD
Nucleo das PJ Civeis de Campo Maior
Nucleo das PJ Civeis de Floriano
